dataset,iteration,model,n_steps,n_hidden_layers,time,baseline,baseline_time
MNIST,1,ParaLIF,10,2,3.4754631250107195,LeNet,3.0805517499975394
MNIST,1,LIF,10,3,8.332625250011915,LeNet,3.0805517499975394
MNIST,1,ParaLIF,10,3,3.702038499992341,LeNet,3.0805517499975394
MNIST,1,LIF,20,0,3.435232374991756,LeNet,3.0805517499975394
MNIST,1,ParaLIF,20,0,3.159551624994492,LeNet,3.0805517499975394
MNIST,1,LIF,20,1,7.041034499998204,LeNet,3.0805517499975394
MNIST,1,ParaLIF,20,1,4.173428250011057,LeNet,3.0805517499975394
MNIST,1,LIF,20,2,10.598110291000921,LeNet,3.0805517499975394
MNIST,1,ParaLIF,20,2,5.704933583998354,LeNet,3.0805517499975394
MNIST,1,LIF,20,3,14.646747584018158,LeNet,3.0805517499975394
MNIST,1,ParaLIF,20,3,6.440950457996223,LeNet,3.0805517499975394
MNIST,1,LIF,30,0,3.8583749160170555,LeNet,3.0805517499975394
MNIST,1,ParaLIF,30,0,3.3829676659952383,LeNet,3.0805517499975394
MNIST,1,LIF,30,1,9.659859666018747,LeNet,3.0805517499975394
MNIST,1,ParaLIF,30,1,5.8427549169864506,LeNet,3.0805517499975394
MNIST,1,LIF,30,2,14.324012708006194,LeNet,3.0805517499975394
MNIST,1,ParaLIF,30,2,8.100962917000288,LeNet,3.0805517499975394
MNIST,1,LIF,30,3,20.034007333015325,LeNet,3.0805517499975394
MNIST,1,ParaLIF,30,3,9.038758790993597,LeNet,3.0805517499975394
MNIST,1,LIF,50,0,4.13405641700956,LeNet,3.0805517499975394
MNIST,1,ParaLIF,50,0,3.6042646249989048,LeNet,3.0805517499975394
MNIST,1,LIF,50,1,13.781554790999508,LeNet,3.0805517499975394
MNIST,1,ParaLIF,50,1,10.39830775000155,LeNet,3.0805517499975394
MNIST,1,LIF,50,2,22.015613541996572,LeNet,3.0805517499975394
MNIST,1,ParaLIF,50,2,14.401238249993185,LeNet,3.0805517499975394
MNIST,1,LIF,50,3,30.961081124987686,LeNet,3.0805517499975394
MNIST,1,ParaLIF,50,3,16.61301575001562,LeNet,3.0805517499975394
MNIST,1,LIF,100,0,5.919520499999635,LeNet,3.0805517499975394
MNIST,1,ParaLIF,100,0,3.423788957996294,LeNet,3.0805517499975394
MNIST,1,LIF,100,1,25.259109917009482,LeNet,3.0805517499975394
